IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.207.13.157,443,443,true,HKG,Asia Pacific,Hong Kong,75,0.01
8.217.66.108,19999,80,false,HKG,Asia Pacific,Hong Kong,69,0.01
47.76.32.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,66,0.00
192.151.255.10,41698,443,true,HKG,Asia Pacific,Hong Kong,51,0.00
8.217.251.62,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,0.00
47.76.49.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,0.00
47.76.49.246,80,80,false,HKG,Asia Pacific,Hong Kong,59,0.00
152.32.190.239,4431,443,true,HKG,Asia Pacific,Hong Kong,66,0.00
59.187.254.31,38685,443,true,NRT,Asia Pacific,Tokyo,320,0.00
47.76.32.108,80,80,false,HKG,Asia Pacific,Hong Kong,81,0.00
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,72,0.00
